raw_line,confidence,source_file,line_no,label
(Current BW Weight: 74.46 kg),0.989247311827957,22-10-25 Upper A.txt,47
Torso B: (Back Focused),0.9169656492845801,23_07_25 Torso B.txt,2
- Lat Pulldown (Nuteral Grip),0.8439153439153438,23_07_25 Torso B.txt,5
**Dynamic Warm-up (5-7 minutes):**,0.9668976135488837,23_08_25 Lower D.txt,2
(used plate at heels so form good),0.8928235394748096,23_08_25 Lower D.txt,14
- Good Mornings (8-10 Reps),0.9838153132042393,23_08_25 Lower D.txt,15
- Front Wrist Curls (10-12 reps),0.9523809523809524,23_08_25 Lower D.txt,36
**Cool-down (5 minutes):**,0.7801112675039241,23_08_25 Lower D.txt,44
2. Quadriceps Stretch (Standing or Lying),0.9096167751265365,23_08_25 Lower D.txt,46
3. Pigeon Stretch  (Glutes/Hips),0.9743589743589745,23_08_25 Lower D.txt,47
have light cold can't workout properly,0.9597114468490541,23_08_25 Lower D.txt,49
(Wide feet),0.7619616378617834,23-09-25 Lower  B.txt,19
- Lying Hamstring Curls (8-10 reps),0.9583333333333334,23-09-25 Lower  B.txt,23
(V-bar),0.9704641350210971,23-10-25 Lower  B.txt,10
- Lying Hamstring Curls (5-8 reps),0.9583333333333334,23-10-25 Lower  B.txt,17
(Wide feet),0.7619616378617834,23-10-25 Lower  B.txt,31
(no rest in this SS),0.894921780986763,24_07_25 Limbs B.txt,27
—,0.421237136073769,24_07_25 Limbs B.txt,31
- Leg Compression Lifts (L-sit),0.3888878964097116,24_07_25 Limbs B.txt,41
**Dynamic Warm-up (5-7 minutes):**,0.9668976135488837,24-10-25 Upper C.txt,2
1. Arm Circles (Fwd & Bwd),0.8419016996936124,24-10-25 Upper C.txt,4
2. Scapular Pull-ups (Dead Hang Shrugs),0.7811771703925099,24-10-25 Upper C.txt,5
(Wide grip),0.7459295707467491,24-10-25 Upper C.txt,9
- Front Wrist Curls (10-20 reps),0.9523809523809524,24-10-25 Upper C.txt,37
(Machine),0.8647070353601389,24-10-25 Upper C.txt,38
(machine fault change workout),0.9635324192010466,24-10-25 Upper C.txt,41
**Cool-down (5 minutes):**,0.7801112675039241,24-10-25 Upper C.txt,43
**Dynamic Warm-up (5-7 minutes):**,0.9668976135488837,25-09-25 Upper C.txt,2
1. Arm Circles (Fwd & Bwd),0.8419016996936124,25-09-25 Upper C.txt,4
2. Scapular Pull-ups (Dead Hang Shrugs),0.7811771703925099,25-09-25 Upper C.txt,5
(Wide grip),0.7459295707467491,25-09-25 Upper C.txt,9
**Cool-down (5 minutes):**,0.7801112675039241,25-09-25 Upper C.txt,46
**Dynamic Warm-up (5-7 minutes):**,0.9668976135488837,25-10-25 Lower D.txt,2
- Leg Extension (5-8 reps),0.9807579399724039,25-10-25 Lower D.txt,14
**Cool-down (5 minutes):**,0.7801112675039241,25-10-25 Lower D.txt,32
1. Quadriceps Stretch (Standing or Lying),0.9096167751265365,25-10-25 Lower D.txt,33
Thoracic Rotations / Trunk Rotations,0.8439344922148297,26_08_25 Upper A.txt,5
(Nuteral grip),0.6255946683093385,26_08_25 Upper A.txt,46
(due to low volume because of pull ups,0.9770326869835674,26_08_25 Upper A.txt,49
**Dynamic Warm-up (5-7 minutes):**,0.9668976135488837,26-09-25 Lower D.txt,2
- Pullups (AMRAP),0.9416282642089094,26-09-25 Lower D.txt,11
**Cool-down (5 minutes):**,0.7801112675039241,26-09-25 Lower D.txt,36
1. Quadriceps Stretch (Standing or Lying),0.9096167751265365,26-09-25 Lower D.txt,37
- Lat pulldown (wide grip),0.7812766121072362,27-10-25 Upper A.txt,11
(V - Bar),0.7225875208362345,27-10-25 Upper A.txt,33
- Front Wrist Curl (10-20 reps),0.9523809523809524,27-10-25 Upper A.txt,42
(Barbell),0.6123670546743364,27-10-25 Upper A.txt,43
- Chest Pec Dec (5-8 reps),0.9047827567751666,27-11-25 Upper A.txt,6
(wide grip),0.7459295707467491,27-11-25 Upper A.txt,9
(V - Bar),0.7225875208362345,27-11-25 Upper A.txt,27
- Front Wrist Curl (10-20 reps),0.9523809523809524,27-11-25 Upper A.txt,35
(cable),0.7325732889354354,27-11-25 Upper A.txt,36
(wide feet),0.7619616378617834,28_08_25 Lower  B.txt,16
- Lying Hamstring Curls (8-10 reps),0.9583333333333334,28_08_25 Lower  B.txt,20
- Lying Hamstring Curls (5-8 reps),0.9583333333333334,28-10-25 Lower  B.txt,8
(Wide feet),0.7619616378617834,28-10-25 Lower  B.txt,22
- Lying Hamstring Curls (5-8 reps),0.9583333333333334,28-11-25 Lower  B.txt,9
**Dynamic Warm-up (5-7 minutes):**,0.9668976135488837,29_08_25 Upper C.txt,2
1. Arm Circles (Fwd & Bwd),0.8419016996936124,29_08_25 Upper C.txt,4
2. Scapular Pull-ups (Dead Hang Shrugs),0.7811771703925099,29_08_25 Upper C.txt,5
(Wide grip),0.7459295707467491,29_08_25 Upper C.txt,9
- Weighted Triceps Dips (6-8 reps),0.9629629629629629,29_08_25 Upper C.txt,31
**Cool-down (5 minutes):**,0.7801112675039241,29_08_25 Upper C.txt,38
2. Shoulder Capsule Stretch (Cross-Body),0.9902648509410487,29_08_25 Upper C.txt,40
Thoracic Rotations / Trunk Rotations,0.8439344922148297,29-09-25 Upper A.txt,5
(V - Bar),0.7225875208362345,29-09-25 Upper A.txt,45
(Wide grip),0.7459295707467491,29-10-25 Upper C.txt,4
- Front Wrist Curls (10-20 reps),0.9523809523809524,29-10-25 Upper C.txt,31
(Barbell),0.6123670546743364,29-10-25 Upper C.txt,32
- Lying Hamstring Curls (8-10 reps),0.9583333333333334,30_07_25 Lower  B.txt,19
- Seated Leg Extension (8-10 reps),0.9743589743589745,30_07_25 Lower  B.txt,22
- Good Mornings (8-12 Reps),0.9743589743589745,30_08_25 Lower D.txt,9
- Front Wrist Curls (10-12 reps),0.9523809523809524,30_08_25 Lower D.txt,29
—,0.421237136073769,18_07_25 Limbs B.txt,26
—,0.421237136073769,24_07_25 Limbs B.txt,31
- Leg Compression Lifts (L-sit),0.3888878964097116,24_07_25 Limbs B.txt,41
—,0.421237136073769,18_07_25 Limbs B.txt,26
—,0.421237136073769,24_07_25 Limbs B.txt,31
- Leg Compression Lifts (L-sit),0.3888878964097116,24_07_25 Limbs B.txt,41
—,0.421237136073769,18_07_25 Limbs B.txt,26
—,0.421237136073769,24_07_25 Limbs B.txt,31
- Leg Compression Lifts (L-sit),0.3888878964097116,24_07_25 Limbs B.txt,41
—,0.421237136073769,18_07_25 Limbs B.txt,26
—,0.421237136073769,24_07_25 Limbs B.txt,31
- Leg Compression Lifts (L-sit),0.3888878964097116,24_07_25 Limbs B.txt,41
—,0.421237136073769,18_07_25 Limbs B.txt,26
—,0.421237136073769,24_07_25 Limbs B.txt,31
- Leg Compression Lifts (L-sit),0.3888878964097116,24_07_25 Limbs B.txt,41
—,0.421237136073769,18_07_25 Limbs B.txt,26
—,0.421237136073769,24_07_25 Limbs B.txt,31
- Leg Compression Lifts (L-sit),0.3888878964097116,24_07_25 Limbs B.txt,41
